,Player,Pos.,Cap Figure,Base Salary,Likely Incent.,Unlikely Incent.,Trade Bonus,Cap Figure.1,Cap % Team,Cap % League,Notes,Year,Team,Cap %,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Qualifying Offer,Trade Kicker,Rights,Signed Using,Signing Bonus,Likely Incentives,Dead Cap,Age
0,Joe Johnson,SG,"$18,038,573","$14,518,851",-,-,-,"$18,038,573",25.16,31.08,/ Bird,2011,Atlanta Hawks,,,,,,,,,,,,,,
1,Josh Smith,SF,"$12,400,000","$9,980,488",-,-,-,"$12,400,000",17.3,21.36,/ G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
2,Al Horford,C,"$12,000,000","$9,658,537",-,-,-,"$12,000,000",16.74,20.67,Rk Extension  / Bird,2011,Atlanta Hawks,,,,,,,,,,,,,,
3,Kirk Hinrich,SG,"$8,000,000","$6,439,024",-,-,-,"$8,000,000",11.16,13.78,Acquired via Trade  G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
4,Marvin Williams,PF,"$7,500,000","$6,036,585",-,-,-,"$7,500,000",10.46,12.92,/ Bird,2011,Atlanta Hawks,,,,,,,,,,,,,,
5,Zaza Pachulia,C,"$4,750,000","$3,823,171",-,-,-,"$4,750,000",6.63,8.18,/ G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
6,Jeff Teague,PG,"$1,579,920","$1,271,643",-,-,-,"$1,579,920",2.2,2.72,Drafted  / Rookie Scale,2011,Atlanta Hawks,,,,,,,,,,,,,,
7,Willie Green,SF,"$1,352,181","$1,088,341",-,-,-,"$1,352,181",1.89,2.33,Acquired via Trade  G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
8,Vladimir Radmanovic,SF,"$1,352,181","$1,088,341",-,-,-,"$1,352,181",1.89,2.33,/ G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
9,Jannero Pargo,PG,"$1,223,166","$1,223,166",-,-,-,"$1,223,166",1.71,2.11,/ G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
10,Jason Collins,C,"$854,389","$1,088,341",-,-,-,"$854,389",1.19,1.47,/ G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
11,Tracy McGrady,SG,"$854,389","$1,088,341",-,-,-,"$854,389",1.19,1.47,/ Minimum G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
12,Jerry Stackhouse,SF,"$854,389","$1,088,341",-,-,-,"$854,389",1.19,1.47,/ G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
13,Ivan Johnson,PF,"$473,604","$381,193",-,-,-,"$473,604",0.66,0.82,Drafted  / Minimum G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
14,Erick Dampier,C,"$221,136","$349,976",-,-,-,"$221,136",0.31,0.38,RoS  / Minimum,2011,Atlanta Hawks,,,,,,,,,,,,,,
15,Donald Sloan,PG,"$129,168","$129,168",-,-,-,"$129,168",0.18,0.22,/ G'teed: $0,2011,Atlanta Hawks,,,,,,,,,,,,,,
0,Josh Smith,SF,"$13,200,000","$13,200,000",-,-,-,"$13,200,000",19.85,22.74,/ G'teed: $0,2012,Atlanta Hawks,,,,,,,,,,,,,,
1,Al Horford,C,"$12,000,000","$12,000,000",-,-,-,"$12,000,000",18.05,20.67,Rk Extension  / Bird,2012,Atlanta Hawks,,,,,,,,,,,,,,
2,Devin Harris,PG,"$8,500,000","$8,500,000",-,-,-,"$8,500,000",12.78,14.64,Acquired via Trade,2012,Atlanta Hawks,,,,,,,,,,,,,,
3,Zaza Pachulia,C,"$5,248,750","$5,248,750",-,-,-,"$5,248,750",7.89,9.04,/ G'teed: $0,2012,Atlanta Hawks,,,,,,,,,,,,,,
4,Kyle Korver,SG,"$5,000,000","$5,000,000",-,-,-,"$5,000,000",7.52,8.61,Acquired via Trade,2012,Atlanta Hawks,,,,,,,,,,,,,,
5,Louis Williams,SG,"$5,000,000","$5,000,000",-,-,-,"$5,000,000",7.52,8.61,/ NT-MLE,2012,Atlanta Hawks,,,,,,,,,,,,,,
